 
--- bestimmte Anforderung aus benutzerdefinierten Vorlagen ---
 
 FORMULARX   FormularCode     Vorlagenname                     Analyt           Behälter         Abteilung        Client           Benutzer                                                                                                                         VorlageAnfX 
 ----------- ---------------- -------------------------------- ---------------- ---------------- ---------------- ---------------- -------------------------------------------------------------------------------------------------------------------------------- ----------- 
           1 DEMO             Vorlage von Trampe               NA               Serum-Sp         NULL             NULL             Trampe                                                                                                                                     1 
          33 Charly           TuebVorlagenTest                 NA               NULL             CHAGR            NULL             NULL                                                                                                                                     554 
          33 Charly           TuebVorlagenTest                 NA               Serum-Sp         CHAGR            NULL             NULL                                                                                                                                     555 
          33 Charly           TESTCharly                       NA               Serum-Sp         CHAGR            NULL             NULL                                                                                                                                     563 
          33 Charly           TuebTest                         NA               NULL             CHAGR            NULL             NULL                                                                                                                                     579 
          33 Charly           TuebTest                         NA               Serum-Sp         CHAGR            NULL             NULL                                                                                                                                     580 
          33 Charly           TuebNochEinTest                  NA               NULL             CHAGR            NULL             NULL                                                                                                                                     599 
          33 Charly           TuebNochEinTest                  NA               Serum-Sp         CHAGR            NULL             NULL                                                                                                                                     600 
         123 Routine          Routine 2                        NA               S                lautein          NULL             NULL                                                                                                                                    1862 
          33 Charly           TuebVorlagenTest                 NA               NULL             Paul2.2          NULL             NULL                                                                                                                                    2259 
          33 Charly           TuebVorlagenTest                 NA               Serum-Sp         Paul2.2          NULL             NULL                                                                                                                                    2260 
          33 Charly           TESTCharly                       NA               Serum-Sp         Paul2.2          NULL             NULL                                                                                                                                    2268 
          33 Charly           TuebTest                         NA               NULL             Paul2.2          NULL             NULL                                                                                                                                    2284 
          33 Charly           TuebTest                         NA               Serum-Sp         Paul2.2          NULL             NULL                                                                                                                                    2285 
          33 Charly           TuebNochEinTest                  NA               NULL             Paul2.2          NULL             NULL                                                                                                                                    2304 
          33 Charly           TuebNochEinTest                  NA               Serum-Sp         Paul2.2          NULL             NULL                                                                                                                                    2305 
          33 Charly           TuebVorlagenTest                 NA               NULL             PAUL2            NULL             NULL                                                                                                                                    2336 
          33 Charly           TuebVorlagenTest                 NA               Serum-Sp         PAUL2            NULL             NULL                                                                                                                                    2337 
          33 Charly           TESTCharly                       NA               Serum-Sp         PAUL2            NULL             NULL                                                                                                                                    2345 
          33 Charly           TuebTest                         NA               NULL             PAUL2            NULL             NULL                                                                                                                                    2361 
          33 Charly           TuebTest                         NA               Serum-Sp         PAUL2            NULL             NULL                                                                                                                                    2362 
